URLSimilarityIndex,NoOfExternalRef,LineOfCode,NoOfSelfRef,NoOfImage,NoOfJS,HasSocialNet,NoOfCSS,HasCopyrightInfo,IsHTTPS,LargestLineLength,HasDescription,label
1,689,8391,745,75,27,1,2,1,1,34822,1,1
0,1,9,0,1,1,0,1,0,1,19156,0,0
1,63,1147,59,49,15,0,8,0,1,9381,0,1
1,16,6287,83,70,19,1,6,1,1,2679,1,1
1,44,661,118,11,16,1,7,0,1,4095,1,1
1,116,1350,98,72,30,1,22,1,1,1946,1,1
0,0,24,0,0,0,0,0,0,0,200,0,0
1,27,578,49,24,24,1,22,1,1,10451,0,1
1,45,1579,310,47,27,1,36,0,1,3547,0,1
0,1,64,3,0,8,0,2,0,1,151,1,0
0,0,15,0,0,0,0,0,0,0,155,0,0
1,8,1818,19,11,23,1,13,1,1,34653,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,1,68,0,0,0,0,0,0,1,80,0,0
1,191,2677,173,84,12,1,13,0,1,1268,1,1
1,171,797,166,8,35,1,19,0,1,9381,1,1
0,0,2,0,0,0,0,0,0,0,33,0,0
1,165,1455,119,32,33,1,20,1,1,9381,1,1
0,0,2,0,0,0,0,0,0,1,72,0,0
1,126,1647,87,19,61,0,56,1,1,9381,1,1
1,76,10252,139,43,45,1,62,1,1,10528,0,1
1,31,1017,35,75,5,1,1,1,1,12051,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,9,0,0,0,0,0,0,1,92,0,0
1,15,2742,59,57,19,1,4,1,1,2677,1,1
0,0,2,0,0,0,0,0,0,0,37,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,2,1233,78,33,13,1,3,1,1,16221,1,1
1,46,679,47,25,14,1,7,1,1,7615,0,1
1,19,2633,50,28,12,1,2,1,1,13876,1,1
0,3,314,0,0,0,0,0,0,1,871,0,0
0,3,27,1,0,4,0,2,0,1,476,0,0
1,46,1738,38,20,6,1,5,0,1,7140,0,1
1,49,1135,158,32,12,1,9,1,1,318,1,1
0,0,9,0,0,0,0,0,0,0,44,0,0
1,41,417,31,18,5,1,5,1,1,750,1,1
1,31,228,17,27,7,0,2,1,1,609,1,1
1,11,890,99,21,28,1,7,0,1,3484,1,1
1,113,940,80,24,12,1,6,1,1,9381,0,1
0,1,9,1,0,0,0,0,0,0,235,0,0
0,1,4,0,0,0,0,0,0,0,204,0,0
1,148,1675,125,45,20,1,1,1,1,515,1,1
1,16,638,21,22,10,0,11,1,1,1350,1,1
1,17,581,17,12,8,1,12,1,1,5574,1,1
1,38,2304,174,10,16,1,2,1,1,862,1,1
0,3,59,0,2,1,0,2,1,0,1848,1,0
1,6,133,0,3,3,0,3,1,1,300,0,1
1,28,1198,93,50,37,1,19,0,1,4698,1,1
1,20,1420,161,79,9,1,4,1,1,786,1,1
1,24,551,47,20,3,1,3,1,1,581,1,1
0,0,9,0,0,0,0,0,0,1,89,0,0
0,0,13,0,0,0,0,0,0,1,63,0,0
0,1,13,0,0,0,0,0,0,1,73,0,0
1,35,3986,103,60,31,1,7,1,1,4528,1,1
1,8,367,43,14,18,0,2,1,1,408,1,1
1,1,9,0,0,0,0,0,0,0,68,0,0
0,0,9,0,0,0,0,0,0,0,50,0,0
1,11,656,96,27,5,1,2,1,1,1837,1,1
1,8,348,18,16,6,1,0,0,1,425,1,1
1,15,269,7,2,3,1,15,0,1,208,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,1,3,0,0,1,0,1,1,1,184297,0,0
0,0,20,0,0,0,0,0,0,0,209,0,0
1,7,1150,41,166,7,1,3,1,1,275,1,1
1,73,1516,56,25,12,1,6,1,1,17191,0,1
0,0,2,0,0,0,0,1,0,1,28359,0,0
1,13,274,1,14,7,1,3,1,1,433,0,1
1,9,345,2,21,9,1,7,0,1,1171,1,1
0,0,2,0,0,0,0,0,0,0,36,0,0
0,15,335,0,7,14,0,3,1,0,19384,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,54,576,51,29,26,0,12,1,1,6338,1,1
1,8,557,15,10,11,1,8,0,1,1046,1,1
1,44,4423,107,33,34,1,6,0,1,9229,1,1
1,12,1222,0,13,14,1,12,1,1,226,1,1
1,5,6020,163,137,34,0,6,1,1,3963,1,1
1,74,3418,323,76,24,1,4,1,1,1579,1,1
1,3,277,0,8,9,0,7,1,1,451,1,1
0,0,2,0,0,0,0,0,0,0,31,0,0
0,0,2,0,0,0,0,0,0,0,37,0,0
1,190,900,28,27,3,1,0,1,1,651,1,1
1,157,2118,140,47,66,1,39,1,1,17995,1,1
1,97,3102,207,50,12,1,23,0,1,1526,1,1
1,92,1555,78,53,21,1,16,1,1,13203,0,1
0,1,11,0,0,0,0,0,0,0,82,0,0
1,7,1123,44,10,20,1,18,0,1,1350,1,1
0,3,314,0,0,0,0,0,0,1,871,0,0
0,0,2,0,0,0,0,0,0,0,56,0,0
0,3,59,0,2,1,0,2,1,0,1848,1,0
1,34,854,2,41,19,1,7,0,1,320,0,1
1,48,5433,216,67,32,1,4,1,1,9736,1,1
1,0,831,31,18,12,0,13,0,1,2282,1,1
0,0,2,0,0,0,0,0,0,0,33,0,0
1,59,2028,84,61,13,1,2,0,1,10158,1,1
1,27,2793,146,17,17,1,9,1,1,42029,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,153,1467,120,14,9,1,3,0,1,9381,0,1
0,2,63,1,1,1,0,2,0,0,355,1,0
1,19,847,44,9,6,1,4,1,1,2785,0,1
1,7,537,8,6,2,0,0,1,1,260,1,1
0,1,2,1,0,1,0,0,0,1,2079,0,0
0,1,14,0,0,1,0,0,0,0,221,0,0
1,14,1394,82,47,13,1,1,0,1,5858,1,1
0,1,9,1,0,0,0,0,0,1,104,0,0
0,0,3,1,0,1,0,1,0,1,2501,0,0
1,28,504,24,17,7,1,3,0,1,210,0,1
1,21,2752,63,99,26,1,3,1,1,46435,1,1
1,9,597,69,38,18,1,4,0,1,2109,1,1
0,4,271,1,19,9,0,3,0,1,20231,0,0
1,87,2037,0,41,12,0,8,1,1,8047,1,1
1,45,9636,188,52,43,1,47,1,1,10411,0,1
0,1,13,1,0,0,0,0,0,0,123,0,0
0,0,2,0,0,0,0,0,0,0,29,0,0
1,134,3154,110,49,44,1,3,1,1,53376,1,1
1,431,3165,413,205,14,1,2,1,1,62780,1,1
1,12,1012,46,30,11,0,11,1,1,313,1,1
1,35,404,0,10,0,1,1,0,1,674,1,1
0,1,13,0,0,0,0,0,0,0,81,0,0
0,0,8,0,0,0,0,0,0,0,49,0,0
0,1,2,0,0,0,0,0,0,0,108,0,0
1,126,894,105,60,23,1,26,1,1,14686,0,1
1,200,852,176,25,29,1,19,1,1,1820,1,1
0,0,9,0,0,0,0,0,0,0,71,0,0
0,1,11,0,0,0,0,0,0,0,87,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,23,0,0,0,0,0,0,1,221,0,0
0,1,2,1,0,1,0,0,0,0,2826,0,0
1,102,996,94,16,30,1,17,1,1,1694,1,1
0,2,82,1,1,0,0,1,0,0,155,0,0
1,9,492,0,30,6,1,3,1,1,1390,0,1
0,0,17,0,0,0,0,0,0,1,200,0,0
1,11,361,7,0,4,1,1,0,1,651,1,1
1,36,2386,55,29,25,1,5,1,1,2678,1,1
0,0,131,1,2,11,0,4,0,0,15746,0,0
0,1,9,1,0,0,0,0,0,1,109,0,0
1,115,1385,113,59,3,1,3,1,1,8047,1,1
0,1,68,0,0,0,0,0,0,1,80,0,0
0,0,2,1,0,1,0,1,0,1,673,0,0
0,1,29,8,0,1,0,1,1,1,1109,1,0
0,1,14,0,0,1,0,0,0,0,221,0,0
0,0,9,0,0,0,0,0,0,1,75,0,0
0,2,109,0,2,0,0,10,0,0,218,0,0
1,120,1073,109,74,15,1,10,1,1,9381,1,1
0,0,3,0,0,0,0,0,0,0,36,0,0
0,0,14,0,0,2,0,0,0,0,686,1,0
1,38,1306,45,35,18,1,16,1,1,15453,1,1
1,2,1616,23,12,7,1,3,0,1,277,0,1
1,17,2256,95,38,2,1,4,1,1,710,0,1
0,9,46,5,0,2,0,1,0,1,4177,0,0
1,19,361,25,11,6,0,8,0,1,551,0,1
0,1,2,1,1,0,0,0,0,1,35781,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,9,394,30,19,4,0,3,1,1,1125,1,1
1,8,1459,65,22,34,1,9,1,1,641,1,1
1,35,902,49,32,19,1,7,0,1,9423,0,1
1,38,3598,90,2,19,1,31,0,1,5496,1,1
0,0,11,1,1,2,0,1,0,1,1666,0,0
0,0,9,0,0,0,0,0,0,1,65,0,0
1,58,3878,20,40,16,1,8,1,1,1734,1,1
1,46,3844,964,71,10,1,3,1,1,36376,0,1
0,0,474,0,10,1,0,2,1,0,780,0,0
0,0,2,0,0,0,0,0,0,1,28,0,0
1,35,586,48,10,8,0,4,1,1,2499,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,161,2102,150,43,45,1,24,1,1,8047,1,1
0,0,16,0,0,0,0,0,0,0,50,0,0
0,0,3,0,0,0,0,0,0,0,265,0,0
1,0,2,0,0,0,0,0,0,0,32,0,0
1,26,457,36,12,20,1,17,1,1,1724,0,1
1,122,623,95,8,24,1,11,1,1,9381,1,1
1,62,2314,150,68,23,1,7,1,1,399,1,1
0,0,3,0,0,0,0,0,0,0,40,0,0
1,75,4011,1,481,9,1,6,1,1,1299,1,1
1,32,1991,63,28,17,1,7,1,1,1910,1,1
1,14,3521,160,68,11,1,4,1,1,36376,1,1
0,2,198,0,0,0,0,0,0,1,869,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
0,0,16,0,0,0,0,0,0,0,93,0,0
1,86,897,104,49,24,1,14,1,1,7722,1,1
0,0,9,0,0,0,0,0,0,0,42,0,0
1,39,241,35,7,15,1,10,1,1,1820,0,1
1,47,617,40,8,9,1,9,1,1,1107,1,1
0,2,198,0,0,0,0,0,0,1,869,0,0
1,129,1516,128,94,2,1,8,1,1,8281,0,1
1,16,433,14,19,4,1,1,1,1,568,1,1
1,135,1410,128,40,53,1,17,1,1,9466,1,1
0,1,13,0,0,0,0,0,0,1,73,0,0
0,4,273,1,19,9,0,3,1,1,20124,0,0
1,63,751,58,12,4,1,22,1,1,9698,0,1
0,3,151,0,2,6,0,1,0,1,7656,1,0
0,0,9,0,0,0,0,0,0,1,120,0,0
1,78,2952,107,33,39,1,16,1,1,8047,1,1
1,118,1563,117,47,6,1,1,1,1,8047,1,1
1,215,943,197,67,17,1,11,1,1,8047,1,1
1,120,1570,101,18,20,0,15,1,1,10537,1,1
1,281,1695,267,93,32,1,26,1,1,9381,1,1
0,3,59,0,2,1,0,2,1,0,1848,1,0
0,0,3,0,0,0,0,0,0,1,204,0,0
0,0,2,0,0,0,0,0,0,0,52,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,2,0,0,0,0,0,0,0,289,0,0
1,108,690,64,36,13,1,7,1,1,9381,0,1
1,18,456,39,18,24,1,58,1,1,6142,1,1
0,0,25,0,1,0,0,0,1,1,259671,0,0
1,29,1868,28,48,64,1,9,0,1,7555,1,1
1,289,3772,256,26,12,1,3,1,1,8977,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,9,0,0,0,0,0,0,0,38,0,0
1,72,1253,123,35,103,1,7,0,1,6675,1,1
0,0,20,0,0,0,0,0,0,0,214,0,0
1,24,1915,125,40,19,1,7,1,1,4647,1,1
1,33,3595,45,15,42,1,24,1,1,1423,1,1
1,48,637,60,7,18,1,10,1,1,8976,1,1
1,589,4885,599,86,9,1,23,1,1,73866,1,1
1,125,782,123,17,12,0,5,0,1,9381,0,1
0,0,3,0,0,0,0,0,0,0,36,0,0
1,47,435,45,13,3,0,1,1,1,533,1,1
1,43,1200,76,51,53,1,7,0,1,6691,1,1
1,23,589,118,13,8,1,1,1,1,342,1,1
0,0,28,1,1,1,0,1,0,1,166,0,0
1,51,1390,46,10,15,0,4,1,1,4513,0,1
0,0,20,0,0,0,0,0,0,1,61,0,0
1,118,1257,8,43,10,1,10,1,1,4043,0,1
1,31,793,106,47,12,1,6,1,1,678,1,1
1,56,957,52,18,13,1,2,1,1,522,1,1
0,0,384,1,9,6,0,1,0,0,542,1,0
1,14,840,20,9,9,1,2,0,1,7114,1,1
0,0,2,0,0,0,0,0,0,0,38,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,10,2162,108,29,16,1,3,1,1,2674,1,1
0,1,13,1,0,0,0,0,0,1,119,0,0
0,0,2,0,0,0,0,0,0,0,481,0,0
1,94,589,88,69,4,1,7,1,1,223,1,1
0,0,5,0,0,0,0,0,0,1,155,0,0
1,127,6507,75,53,13,1,11,1,1,651,1,1
1,121,1946,49,18,10,1,6,1,1,9381,1,1
1,18,1669,64,32,13,1,2,1,1,10949,1,1
1,64,385,58,8,22,1,14,1,1,8047,0,1
1,61,1388,47,30,33,1,27,1,1,9381,1,1
1,35,1468,143,37,15,1,4,1,1,1374,1,1
1,142,758,122,61,17,0,10,1,1,9381,1,1
1,0,2,0,0,0,0,0,0,0,34,0,0
1,230,1618,201,77,20,1,16,1,1,9381,0,1
1,20,896,52,14,14,1,7,1,1,1702,0,1
1,62,775,60,15,19,0,15,0,1,9381,0,1
1,74,532,74,7,22,1,4,1,1,4435,0,1
0,1,2,0,0,0,0,0,0,0,87,0,0
1,8,1306,116,3,25,1,10,1,1,289,0,1
0,1,11,0,0,0,0,0,0,0,96,0,0
1,56,628,53,31,6,1,3,1,1,8047,1,1
1,36,1451,186,51,8,1,5,1,1,444,1,1
1,31,1339,32,11,5,1,2,1,1,636,0,1
1,13,2620,162,77,19,1,4,1,1,35368,1,1
0,0,9,0,0,0,0,0,0,0,50,0,0
0,3,216,0,2,9,0,3,1,0,235,0,0
0,7,91,11,4,0,0,1,0,0,183,0,0
1,106,3645,284,36,10,1,2,1,1,4206,1,1
0,0,9,0,0,0,0,0,0,0,44,0,0
1,229,2074,157,26,39,1,24,1,1,27962,1,1
1,55,658,51,10,20,1,15,1,1,9381,1,1
0,0,2,1,0,1,0,1,0,1,653,0,0
1,55,1376,47,27,6,1,5,1,1,2098,1,1
1,34,4922,2,231,16,1,35,0,1,32306,1,1
1,47,483,2,3,6,1,7,1,1,1032,1,1
0,0,2,0,0,0,0,0,0,0,30,0,0
1,34,3461,59,16,15,1,4,1,1,32116,1,1
0,0,3,0,0,0,0,0,0,0,35,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
1,154,1767,157,59,9,0,4,1,1,984,1,1
1,898,10316,1060,235,7,1,5,1,1,3358,1,1
1,9,478,0,27,7,0,8,0,1,294,1,1
0,0,9,0,0,0,0,0,0,1,89,0,0
1,20,2662,50,23,21,1,14,1,1,15813,1,1
1,47,3417,107,18,21,0,4,1,1,42848,1,1
1,41,424,36,21,11,1,9,1,1,1902,0,1
1,102,960,69,39,16,1,14,1,1,1727,1,1
0,4,276,1,19,9,0,3,0,1,20323,0,0
0,0,38,0,0,0,0,2,0,0,135,0,0
0,2,90,2,0,0,0,2,0,1,394,0,0
0,0,2,0,0,0,0,0,0,0,45,0,0
0,0,3,0,0,0,0,0,0,1,726630,0,0
1,29,1520,7,90,7,1,4,1,1,714,1,1
1,96,9162,175,306,24,1,4,1,1,3979,1,1
0,1,45,0,0,1,0,0,0,1,450490,0,0
0,1,2,1,0,1,0,0,0,0,842,0,0
1,178,741,169,24,13,1,2,1,1,587,1,1
0,0,2,0,0,0,0,0,0,0,38,0,0
1,137,1068,133,49,6,1,1,1,1,16183,1,1
1,3,367,3,26,7,0,3,1,1,511,1,1
0,3,314,0,0,0,0,0,0,0,871,0,0
0,0,2,0,0,0,0,0,0,0,44,0,0
1,628,4450,587,98,21,1,15,1,1,9381,1,1
1,112,1071,2,34,15,0,9,1,1,700,0,1
0,0,2,0,0,0,0,0,0,0,36,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
1,45,773,44,1,18,0,11,1,1,9381,1,1
0,1,95,2,0,0,0,2,0,1,394,0,0
1,34,402,8,7,5,0,5,1,1,322,1,1
1,12,1440,49,11,23,1,3,1,1,2678,1,1
1,26,523,29,8,26,1,51,1,1,5346,0,1
1,53,2652,138,27,22,1,55,1,1,8272,1,1
1,143,1362,133,52,8,1,8,1,1,558,1,1
1,203,3644,111,93,36,1,68,0,1,18130,0,1
1,81,548,80,34,12,1,8,1,1,449,1,1
0,1,9,1,0,0,0,0,0,0,79,0,0
1,92,798,82,18,33,1,37,1,1,9381,1,1
0,1,11,1,0,0,0,0,0,1,95,0,0
0,0,2,0,0,0,0,0,0,0,482,0,0
0,0,16,0,0,0,0,0,0,0,50,0,0
1,33,991,128,2,11,1,3,1,1,820,1,1
1,56,1553,48,38,16,1,22,1,1,5683,1,1
0,1,4,0,0,0,0,0,0,1,128,0,0
0,0,44,0,0,1,0,0,0,1,117,0,0
1,17,1048,57,12,20,1,5,0,1,988,1,1
1,2,15608,1099,10,11,1,11,1,1,23351,1,1
0,0,2,0,0,0,0,0,0,1,42,0,0
1,40,549,27,44,12,0,9,1,1,8047,0,1
0,2,674,0,0,3,0,0,0,1,10272,0,0
1,38,561,36,38,29,1,11,1,1,3821,0,1
1,48,1090,133,53,28,1,14,1,1,1278,1,1
0,0,4,0,0,0,0,0,0,1,98,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
1,27,1561,111,49,5,1,4,1,1,2058,0,1
1,102,595,95,15,17,1,12,1,1,8047,0,1
1,268,5331,0,160,3,0,47,1,1,396,0,1
1,55,4341,52,43,18,0,7,1,1,9381,0,1
0,1,911,0,0,12,0,0,1,1,7900,0,0
1,289,1413,286,39,19,0,8,1,1,16706,1,1
1,68,917,16,34,13,1,12,1,1,9381,1,1
0,0,26,0,0,0,0,0,0,1,129,0,0
1,67,1346,144,1,9,1,2,1,1,472,1,1
1,14,531,5,29,24,1,1,0,1,554,1,1
0,0,20,0,0,0,0,0,0,0,209,0,0
1,40,363,35,0,8,0,5,0,1,414,1,1
1,18,866,112,22,10,1,3,1,1,13414,1,1
1,5,2948,84,19,3,0,1,1,1,4456,1,1
0,0,129,3,1,1,0,0,0,1,368,0,0
1,43,376,38,12,14,0,15,0,1,4158,0,1
1,5,3614,54,46,26,1,3,0,1,6648,1,1
1,163,1141,114,57,7,1,2,1,1,30544,1,1
0,0,2,0,0,0,0,0,0,0,45,0,0
1,130,4003,109,15,0,1,0,1,1,388,1,1
1,133,430,99,11,6,1,10,1,1,1832,1,1
1,168,2901,131,31,34,1,17,1,1,1979,1,1
1,35,936,0,6,1,1,1,0,1,407,1,1
0,0,2,0,0,0,0,0,0,0,29,0,0
1,59,992,52,50,23,1,11,1,1,241,1,1
1,122,7306,252,403,6,1,3,1,1,27518,1,1
1,9,1952,47,3,8,0,11,1,1,1101,0,1
1,24,3590,183,17,19,1,9,1,1,6135,1,1
0,0,9,0,0,0,0,0,0,0,50,0,0
1,13,477,86,12,17,1,64,1,1,13399,1,1
0,1,190,0,0,2,0,2,0,1,213,0,0
0,2,17,0,0,0,0,0,0,1,110,0,0
1,16,424,45,21,6,1,3,1,1,304,1,1
0,1,4,1,0,0,0,0,0,1,61,0,0
1,8,471,47,45,1,1,3,1,1,859,1,1
1,70,533,65,1,8,0,6,1,1,1820,0,1
1,10,1078,11,29,11,1,4,0,1,317,1,1
0,0,25,0,0,0,0,0,0,0,137,0,0
1,5,473,5,3,3,0,2,0,1,386,1,1
0,2,25,2,0,0,0,1,0,0,192,0,0
1,43,857,69,41,6,1,1,1,1,323,1,1
0,1,8,0,0,0,0,0,0,0,78,0,0
1,9,1591,143,17,1,1,3,1,1,9043,0,1
1,105,1366,95,51,14,1,10,0,1,9381,1,1
1,125,4586,287,50,22,1,11,0,1,1820,1,1
1,59,1370,60,25,33,1,8,1,1,9381,1,1
1,6,170,15,1,6,0,5,1,1,233,1,1
1,107,317,0,0,0,1,1,1,1,673,1,1
0,3,123,0,1,0,0,3,0,0,546,1,0
1,16,567,15,3,7,0,5,0,1,504,1,1
0,0,15,0,0,0,0,0,0,0,155,0,0
0,0,59,1,2,3,0,0,0,1,78,1,0
1,183,7406,776,244,16,1,4,1,1,12346,1,1
0,0,30,2,1,0,0,2,0,1,115,0,0
1,107,9353,196,37,38,1,47,1,1,8209,1,1
0,3,371,3,8,6,0,2,1,1,358609,1,0
1,29,1054,104,39,12,1,1,1,1,16913,1,1
0,1,9,1,0,0,0,0,0,0,105,0,0
0,0,2,0,0,0,0,0,0,0,268,0,0
1,125,1056,117,46,17,1,7,1,1,2404,1,1
1,50,1253,40,7,7,1,0,1,1,8590,0,1
0,0,11,0,0,0,0,0,0,0,99,0,0
1,179,1879,178,4,14,0,3,1,1,532,0,1
1,9,742,151,9,16,1,5,1,1,3702,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,2,0,0,0,0,0,0,0,35,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,17,4436,91,180,46,1,39,1,1,21924,1,1
1,33,2275,32,4,1,1,2,1,1,506,1,1
1,151,1704,117,40,12,1,8,1,1,9381,1,1
0,2,10,2,1,2,0,1,1,1,36979,0,0
1,9,2310,8,3,7,0,3,1,1,1212,1,1
1,12,743,52,11,8,1,6,1,1,249,1,1
1,195,1262,200,25,20,1,17,1,1,34461,1,1
0,1,9,1,0,0,0,0,0,0,127,0,0
1,79,1254,5,3,0,0,0,1,1,1012,0,1
1,48,1831,157,34,85,1,54,1,1,3809,0,1
1,96,512,92,57,9,0,0,0,1,408,1,1
0,0,2,0,0,0,0,0,0,0,31,0,0
1,11,2815,229,39,21,1,2,1,1,2886,1,1
0,0,30,2,1,0,0,2,0,1,115,0,0
0,0,20,0,0,0,0,0,0,0,207,0,0
1,13,781,31,8,23,0,5,1,1,425,0,1
1,277,12396,282,73,13,1,9,0,1,11141,1,1
1,54,2719,268,21,12,1,4,0,1,733,1,1
1,192,1991,185,42,17,1,8,1,1,9458,0,1
0,0,11,0,0,0,0,0,0,1,119,0,0
0,0,9,0,0,0,0,0,0,0,58,0,0
1,134,889,126,6,14,0,9,1,1,439,0,1
0,0,66,2,0,2,0,2,0,1,3018,1,0
1,5,436,33,1,2,0,2,1,1,320,0,1
1,43,2010,26,12,6,1,12,1,1,4828,1,1
0,0,11,0,0,0,0,0,0,0,85,0,0
1,36,407,32,19,1,1,1,1,1,315,1,1
1,87,3321,182,40,24,1,5,1,1,4400,1,1
1,20,5432,111,284,28,1,7,1,1,11449,1,1
0,0,2,0,0,0,0,0,0,1,49,0,0
1,34,1490,174,210,7,1,5,1,1,221,1,1
1,76,1135,74,22,15,1,7,1,1,13763,1,1
1,19,3148,323,33,19,1,10,1,1,448,1,1
0,0,11,1,1,2,0,0,0,1,1666,0,0
1,412,3066,400,9,21,1,17,1,1,17901,1,1
1,4,832,4,23,13,1,0,0,1,665,1,1
0,2,90,2,0,0,0,2,0,1,394,0,0
0,1,2,1,1,1,0,1,1,1,1152,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,19,2989,30,53,8,1,7,1,1,3559,0,1
1,65,1115,62,49,26,1,14,0,1,619,1,1
0,0,2,0,0,0,0,0,0,0,115,0,0
1,27,5550,25,35,13,1,20,1,1,10696,0,1
1,20,2959,46,1,19,0,34,1,1,1378,1,1
1,6,328,0,0,1,1,5,1,1,217,0,1
1,357,4303,312,14,13,0,3,1,1,4367,0,1
0,1,95,2,0,0,0,2,0,1,394,0,0
1,9,2916,193,47,76,1,12,1,1,3514,1,1
1,63,933,128,70,13,0,4,1,1,1776,1,1
1,62,1029,55,29,4,1,1,1,1,3910,1,1
0,0,4,0,0,0,0,0,0,1,796486,0,0
1,122,1375,137,19,63,1,29,1,1,14710,0,1
1,65,815,56,54,14,1,8,1,1,2685,0,1
0,0,2,0,0,0,0,0,0,0,481,0,0
1,71,948,57,19,20,1,12,1,1,9977,1,1
1,83,1162,24,65,16,0,17,0,1,2501,1,1
0,1,9,1,0,0,0,0,0,0,74,0,0
1,16,2300,69,45,15,1,3,0,1,15012,1,1
1,19,274,18,6,6,1,5,1,1,1178,1,1
0,0,2,0,0,0,0,0,0,0,36,0,0
0,0,43,0,0,4,0,0,0,0,4099080,0,0
0,0,2,0,0,0,0,0,0,0,39,0,0
1,11,1103,17,17,3,1,5,1,1,2248,1,1
0,0,2,0,0,0,0,0,0,0,48,0,0
1,6,466,35,11,7,0,6,1,1,748,1,1
1,36,939,53,15,29,1,20,0,1,11272,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,2,0,0,0,0,0,0,0,29,0,0
1,49,2411,188,17,9,1,7,0,1,9229,0,1
0,0,20,0,0,0,0,0,0,0,208,0,0
0,1,11,1,0,0,0,0,0,0,93,0,0
0,0,3,0,0,0,0,0,0,0,79,0,0
1,21,1254,28,15,10,1,2,0,1,6435,1,1
0,2,198,0,0,0,0,0,0,1,869,0,0
0,0,20,0,0,0,0,0,0,1,61,0,0
1,10,239,1,8,6,0,2,0,1,301,1,1
1,40,12097,106,48,20,1,18,1,1,2926,1,1
0,1,4,0,0,0,0,0,0,0,113,0,0
1,87,1109,1,13,1,1,2,1,1,1215,1,1
0,0,2,0,0,0,0,0,0,1,67,0,0
1,110,1836,104,22,9,1,8,0,1,8252,0,1
0,3,173,2,19,9,0,3,0,1,19107,0,0
1,6,3327,6,3,2,1,3,1,1,35263,0,1
0,2,198,0,0,0,0,0,0,1,869,0,0
0,21,700,8,1,3,1,3,1,1,340402,0,0
1,256,7917,238,119,30,1,7,1,1,4449,0,1
0,1,63,0,0,0,0,0,0,0,134,0,0
1,9,1720,58,14,32,1,12,1,1,2677,1,1
0,0,2,0,0,0,0,0,0,0,34,0,0
1,66,862,62,29,10,0,5,1,1,11484,1,1
1,19,527,16,15,5,1,2,0,1,438,1,1
1,94,1104,60,12,15,1,12,1,1,676,1,1
1,1,270,0,1,9,0,4,1,1,1475,1,1
0,0,10,0,0,0,0,0,0,1,77,0,0
0,1,36,0,0,2,0,0,0,1,247,0,0
0,0,2,0,0,0,0,0,0,1,37,0,0
1,57,1544,124,53,30,0,36,1,1,3578,0,1
1,62,2459,22,13,111,1,78,1,1,51312,1,1
1,25,871,61,13,9,1,1,1,1,998,1,1
1,92,1424,128,117,7,1,2,1,1,400,1,1
1,32,821,90,35,12,1,8,0,1,7389,0,1
1,10,220,1,7,4,1,4,1,1,1575,0,1
0,32,230,0,4,11,0,3,1,0,1843,0,0
1,8,1586,360,34,8,1,7,1,1,3151,1,1
0,0,9,0,0,0,0,0,0,0,70,0,0
0,0,2,0,0,0,0,0,0,0,37,0,0
1,11,1056,146,39,27,1,4,1,1,1820,0,1
0,0,2,0,0,0,0,0,0,0,35,0,0
1,16,234,7,8,17,1,4,0,1,293,0,1
1,201,3255,194,62,41,1,14,1,1,9458,1,1
1,10,238,1,15,11,0,5,1,1,836,1,1
1,8,597,6,12,3,0,0,1,1,610,1,1
1,41,1155,160,14,15,1,8,1,1,536,0,1
1,19,4000,74,696,16,1,2,1,1,8121,1,1
0,0,8,0,0,0,0,0,0,0,41,0,0
0,0,29,0,1,0,0,0,0,0,74,0,0
1,78,852,171,56,15,1,6,1,1,615,1,1
0,0,16,0,0,0,0,0,0,0,50,0,0
1,10,1973,186,115,4,1,1,0,1,21870,0,1
0,2,69,4,3,5,0,1,0,0,5481,0,0
1,18,524,54,10,42,1,20,1,1,1252,0,1
1,20,751,0,25,18,1,10,1,1,431,1,1
1,20,252,13,12,2,1,1,1,1,259,1,1
0,1,120,0,0,0,0,2,1,1,226,1,0
0,0,9,0,0,0,0,0,0,0,44,0,0
1,23,435,39,3,3,1,7,1,1,1334,1,1
0,0,2,0,0,0,0,0,0,1,35,0,0
